id,Author,Text,User Location,Tweet Country,created_at
1356279700096765954,ibrattleboro,"Brattleboro and Vermont COVID-19 Dashboard Summary https://t.co/OavrGQrPlk February 1, 2021","Brattleboro, VT",None,2021-02-01 16:34:13
1356279700449079301,LanternBlue2,"RT @rpoconnor: Toronto Public Health regularly reports case count data in error, or blames system changes, yet it has broad influence (and…",,None,2021-02-01 16:34:13
1356279702617542659,TrdisOprtr,RT @Milhouse_Van_Ho: The number of deaths from all causes in 2019 vs. number of deaths from or with Covid-19 in 2020-21. https://t.co/dCfI7…,,None,2021-02-01 16:34:14
1356279702986629122,AfTabShaikh22,RT @Reuters: Biden to meet Republicans on COVID-19 plan in test of bipartisan approach https://t.co/zV0Szkt33N https://t.co/Ke07Eyrb6a,"Mumbai, India",None,2021-02-01 16:34:14
1356279704081342466,smg_tax,"RT @PresidencyZA: PRESIDENT RAMAPHOSA TO ADDRESS THE NATION ON DEVELOPMENTS IN COVID-19 RESPONSE

President @CyrilRamaphosa will address th…","Johannesburg, South Africa",None,2021-02-01 16:34:14
1356279705154961410,AimeeSutton0922,Took my covid-19 test 3 days ago on friday and I came back NEGATIVE 🎊🎉🎊✨🎇🎆🧨,89502,None,2021-02-01 16:34:14
1356279705092173824,PauletteStL,I would look outside the USA for those doses. This is definitely a serious crime but I think it is only a tip of th… https://t.co/hF0v03J6yK,"St Louis, MO ⚜",None,2021-02-01 16:34:14
1356279705251553283,NathalieGrogan,This event accompanies our December 2020 Massachusetts Veteran Needs Assessment 👇🏻 and highlights the unique experi… https://t.co/yhfF0NcvNV,"Washington, DC ",None,2021-02-01 16:34:14
1356279706174177281,darleneclarke5,US Senator Criticizes WHO for Supporting Beijing’s COVID-19 Propaganda https://t.co/P295lBMAF4 via @epochtimes,,None,2021-02-01 16:34:15
1356279707432583171,StephenLyon5,"RT @Mar_a_Hell_No: The Biden administration has now confirmed that
20 million doses of the Covid-19 vaccine are ""missing.""

Several weeks a…",United States,None,2021-02-01 16:34:15
1356279708548272128,MihrThakar,"RT @alykhansatchu: Travelers should avoid all travel to Tanzania. If you must travel, talk to your doctor ahead of travel, especially if yo…","Mombasa, Kenya",None,2021-02-01 16:34:15
1356279710456578048,maggie31317905,RT @TheMorningSpew2: I’ve talked to many facility managers who say they can no longer get ANY COVID-19 vaccine. The last doses they receive…,,None,2021-02-01 16:34:16
1356279711178043398,_technoscythe,Hmm.... COVID-19 because it's destroying lives.,CG SMP,None,2021-02-01 16:34:16
1356279717335334912,kathymccray11,"RT @MichiganHHS: Today, restaurants and bars can reopen at 25% capacity with up to 100 people but indoor dining remains high risk. Consider…",Southwest Detroit ,None,2021-02-01 16:34:17
1356279717758955520,boston7905,"RT @Mar_a_Hell_No: The Biden administration has now confirmed that
20 million doses of the Covid-19 vaccine are ""missing.""

Several weeks a…",,None,2021-02-01 16:34:17
1356279719726092290,AfroPersian,@1a @ParrishLiz @chipwalter Can your guest please address what seems to be a conspiracy theory that links the covid… https://t.co/NPDbxPZpiA,"Washington, DC",None,2021-02-01 16:34:18
1356279719986020356,mirzak386,"RT @RedChilliesEnt: “Using virtual production, the producers and directors will be able to save time and money.”

@vfx_redchillies team bre…","New Delhi, India",None,2021-02-01 16:34:18
